request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_210,950.95,affordable_with_plan,partial_payment,2026-04-06:950.95|2026-04-15:409.07,2026-04-15,none,"Based on 90-day simulation starting 2026-04-06, min balance reaches limit. affordable_with_plan."
request_211,277.78,affordable_later,wait,2024-11-15:1788.6,2024-11-15,none,"Based on 90-day simulation starting 2024-09-03, min balance reaches limit. affordable_later."
request_212,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-02-05, min balance reaches limit. not_affordable."
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,"Based on 90-day simulation starting 2026-01-07, min balance reaches limit. affordable_with_plan."
request_214,35721.95,affordable_with_plan,partial_payment,2024-12-04:35721.95|2025-01-15:34028.05,2025-01-15,none,"Based on 90-day simulation starting 2024-12-04, min balance reaches limit. affordable_with_plan."
request_215,29986.0,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Based on 90-day simulation starting 2025-05-06, min balance reaches limit. affordable_with_plan."
request_216,455.89,affordable_later,wait,2026-09-15:3332.4,2026-09-15,none,"Based on 90-day simulation starting 2026-07-03, min balance reaches limit. affordable_later."
request_217,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2024-03-05, min balance reaches limit. not_affordable."
request_218,24552135.34,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"Based on 90-day simulation starting 2025-08-07, min balance reaches limit. affordable_with_plan."
request_219,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2026-04-04, min balance reaches limit. not_affordable."
request_220,124.11,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2024-06-06, min balance reaches limit. not_affordable."
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Based on 90-day simulation starting 2025-11-03, min balance reaches limit. affordable_now."
request_222,30996.18,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2026-01-05, min balance reaches limit. not_affordable."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,"Based on 90-day simulation starting 2024-09-07, min balance reaches limit. affordable_now."
request_224,10327000.0,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,"Based on 90-day simulation starting 2025-02-04, min balance reaches limit. affordable_with_plan."
request_225,9380382.41,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,reduce_to:event_20649:314450.0,"Based on 90-day simulation starting 2026-07-06, min balance reaches limit. affordable_with_plan."
request_226,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2024-12-03, min balance reaches limit. not_affordable."
request_227,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-05-05, min balance reaches limit. not_affordable."
request_228,1327679.29,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2026-04-07, min balance reaches limit. not_affordable."
request_229,500.25,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,"Based on 90-day simulation starting 2024-03-04, min balance reaches limit. affordable_with_plan."
request_230,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-08-06, min balance reaches limit. not_affordable."
request_231,31237.31,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-02-15,reduce_to:event_21305:845.9,"Based on 90-day simulation starting 2026-01-03, min balance reaches limit. affordable_with_plan."
request_232,158.15,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2024-06-05, min balance reaches limit. not_affordable."
request_233,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-11-07, min balance reaches limit. not_affordable."
request_234,226.14,affordable_later,wait,2026-09-15:1213.3,2026-09-15,none,"Based on 90-day simulation starting 2026-07-04, min balance reaches limit. affordable_later."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,"Based on 90-day simulation starting 2024-09-06, min balance reaches limit. affordable_now."
request_236,6081340.68,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-02-03, min balance reaches limit. not_affordable."
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,"Based on 90-day simulation starting 2026-04-05, min balance reaches limit. affordable_now."
request_238,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2024-12-07, min balance reaches limit. not_affordable."
request_239,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-05-04, min balance reaches limit. not_affordable."
request_240,15979.2,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2026-01-06, min balance reaches limit. not_affordable."
request_241,21052000.0,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Based on 90-day simulation starting 2024-03-03, min balance reaches limit. affordable_with_plan."
request_242,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-08-05, min balance reaches limit. not_affordable."
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Based on 90-day simulation starting 2026-07-07, min balance reaches limit. affordable_now."
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,"Based on 90-day simulation starting 2024-06-04, min balance reaches limit. affordable_now."
request_245,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-11-06, min balance reaches limit. not_affordable."
request_246,64086.0,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Based on 90-day simulation starting 2026-04-03, min balance reaches limit. affordable_with_plan."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,"Based on 90-day simulation starting 2024-09-05, min balance reaches limit. affordable_now."
request_248,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-02-07, min balance reaches limit. not_affordable."
request_249,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2026-01-04, min balance reaches limit. not_affordable."
request_250,16056.71,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2024-12-06, min balance reaches limit. not_affordable."
request_251,1513.6,affordable_later,not_recommended,none,2025-05-03,none,"Based on 90-day simulation starting 2025-05-03, min balance reaches limit. affordable_later."
request_252,4541677.74,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,"Based on 90-day simulation starting 2026-07-05, min balance reaches limit. affordable_later."
request_253,1348.63,affordable_with_plan,installments,2024-03-21:984.6|2024-04-21:984.6|2024-05-22:984.6,2024-05-15,none,"Based on 90-day simulation starting 2024-03-07, min balance reaches limit. affordable_with_plan."
request_254,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-08-04, min balance reaches limit. not_affordable."
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,"Based on 90-day simulation starting 2026-04-06, min balance reaches limit. affordable_now."
request_256,152887.9,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-07-15,none,"Based on 90-day simulation starting 2024-06-03, min balance reaches limit. affordable_with_plan."
request_257,281.96,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-11-05, min balance reaches limit. not_affordable."
request_258,33.56,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2026-01-07, min balance reaches limit. not_affordable."
request_259,251.54,affordable_later,wait,2024-11-15:935,2024-11-15,none,"Based on 90-day simulation starting 2024-09-04, min balance reaches limit. affordable_later."
request_260,7666916.38,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-02-06, min balance reaches limit. not_affordable."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,"Based on 90-day simulation starting 2026-07-03, min balance reaches limit. affordable_now."
request_262,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2024-12-05, min balance reaches limit. not_affordable."
request_263,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-05-07, min balance reaches limit. not_affordable."
request_264,22947.0,affordable_later,wait,2026-06-15:111300,2026-06-15,none,"Based on 90-day simulation starting 2026-04-04, min balance reaches limit. affordable_later."
request_265,45970.0,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,"Based on 90-day simulation starting 2024-03-06, min balance reaches limit. affordable_now."
request_266,770.18,affordable_later,not_recommended,none,2025-09-15,none,"Based on 90-day simulation starting 2025-08-03, min balance reaches limit. affordable_later."
request_267,1644.69,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-02-15,none,"Based on 90-day simulation starting 2026-01-05, min balance reaches limit. affordable_with_plan."
request_268,1061.93,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,"Based on 90-day simulation starting 2024-06-07, min balance reaches limit. affordable_with_plan."
request_269,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-11-04, min balance reaches limit. not_affordable."
request_270,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2026-07-06, min balance reaches limit. not_affordable."
request_271,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2024-09-03, min balance reaches limit. not_affordable."
request_272,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-02-05, min balance reaches limit. not_affordable."
request_273,9476871.09,affordable_with_plan,partial_payment,2026-04-07:9476871.09|2026-04-15:6384128.91,2026-04-15,none,"Based on 90-day simulation starting 2026-04-07, min balance reaches limit. affordable_with_plan."
request_274,2061.58,affordable_later,not_recommended,none,2025-02-15,none,"Based on 90-day simulation starting 2024-12-04, min balance reaches limit. affordable_later."
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,"Based on 90-day simulation starting 2025-05-06, min balance reaches limit. affordable_now."
